Customer ID,Recency,Frequency,Monetary,Customer Name,R_Score,F_Score,M_Score,RFM_Score,Segment,Marketing Idea
AA-10315,185,5,5563.56,Alex Avila,4,3,1,431,Loyal Customers,Offer loyalty points or free gifts.
AA-10375,20,9,1056.39,Allen Armold,1,1,4,114,Others,General promotions and newsletters.
AA-10480,260,4,1790.5120000000002,Andrew Allen,5,4,3,543,Loyal Customers,Offer loyalty points or free gifts.
AA-10645,56,6,5086.9349999999995,Anna Andreadi,3,3,1,331,Others,General promotions and newsletters.
AB-10015,416,3,886.156,Aaron Bergman,5,5,5,555,Champions,Give exclusive discounts or VIP rewards.
AB-10060,55,8,7755.620000000001,Adam Bellavance,3,2,1,321,Others,General promotions and newsletters.
AB-10105,42,10,14473.570999999998,Adrian Barton,2,1,1,211,Lost,Try re-engagement campaigns or surveys.
AB-10150,42,5,966.71,Aimee Bixby,2,3,4,234,Others,General promotions and newsletters.
AB-10165,26,8,1113.838,Alan Barnes,1,2,4,124,Others,General promotions and newsletters.
AB-10255,167,9,914.5319999999999,Alejandro Ballentine,4,1,5,415,New Customers,Send welcome emails and first-time coupons.
AB-10600,51,4,1515.862,Ann Blume,2,4,4,244,At Risk,Send win-back offers or reminders.
AC-10420,233,3,925.8000000000001,Alyssa Crouse,5,5,5,555,Champions,Give exclusive discounts or VIP rewards.
AC-10450,12,7,5527.846,Amy Cox,1,2,1,121,Lost,Try re-engagement campaigns or surveys.
AC-10615,7,5,2537.6859999999997,Ann Chong,1,3,3,133,Others,General promotions and newsletters.
AC-10660,283,5,657.316,Anna Chung,5,3,5,535,Loyal Customers,Offer loyalty points or free gifts.
AD-10180,30,8,6106.88,Alan Dominguez,2,2,1,221,Lost,Try re-engagement campaigns or surveys.
AF-10870,42,7,2052.908,Art Ferguson,2,2,3,223,Others,General promotions and newsletters.
AF-10885,416,4,861.565,Art Foster,5,4,5,545,Champions,Give exclusive discounts or VIP rewards.
AG-10270,279,5,2582.8979999999997,Alejandro Grove,5,3,3,533,Loyal Customers,Offer loyalty points or free gifts.
AG-10300,119,4,367.548,Aleksandra Gannaway,4,4,5,445,Champions,Give exclusive discounts or VIP rewards.
AG-10330,9,5,660.972,Alex Grayson,1,3,5,135,Others,General promotions and newsletters.
AG-10390,115,5,200.945,Allen Goldenen,4,3,5,435,Loyal Customers,Offer loyalty points or free gifts.
AG-10495,79,8,2356.855,Andrew Gjertsen,3,2,3,323,Others,General promotions and newsletters.
AG-10525,846,4,1455.038,Andy Gerbode,5,4,4,544,Champions,Give exclusive discounts or VIP rewards.
AG-10675,98,7,3489.0396000000005,Anna Gayman,3,2,2,322,Others,General promotions and newsletters.
AG-10765,78,4,170.584,Anthony Garverick,3,4,5,345,Others,General promotions and newsletters.
AG-10900,97,10,4510.797,Arthur Gainer,3,1,1,311,Others,General promotions and newsletters.
AH-10030,13,7,1744.7,Aaron Hawkins,1,2,3,123,Others,General promotions and newsletters.
AH-10075,35,10,3250.337,Adam Hart,2,1,2,212,Lost,Try re-engagement campaigns or surveys.
AH-10120,61,7,1735.5140000000001,Adrian Hane,3,2,4,324,Others,General promotions and newsletters.
AH-10195,56,4,1587.452,Alan Haines,3,4,4,344,Others,General promotions and newsletters.
AH-10210,7,9,4805.344,Alan Hwang,1,1,1,111,Lost,Try re-engagement campaigns or surveys.
